timestamp,Solar,temperature_2m,cloudcover,shortwave_radiation
2015-01-01 07:00:00,2.0,5.6,99,0.0
2015-01-01 08:00:00,10.0,5.7,99,0.0
2015-01-01 09:00:00,21.0,5.8,100,11.0
2015-01-01 10:00:00,32.0,6.0,100,36.0
2015-01-01 11:00:00,37.0,6.1,100,42.0
2015-01-01 12:00:00,35.0,6.1,100,24.0
2015-01-01 13:00:00,27.0,6.0,100,25.0
2015-01-01 14:00:00,14.0,5.9,100,20.0
2015-01-01 15:00:00,3.0,5.7,100,3.0
2015-01-01 16:00:00,0.0,5.5,100,0.0
2015-01-01 17:00:00,0.0,5.2,100,0.0
2015-01-01 18:00:00,0.0,5.1,100,0.0
2015-01-01 19:00:00,0.0,5.3,100,0.0
2015-01-01 20:00:00,0.0,5.1,100,0.0
2015-01-01 21:00:00,0.0,4.9,100,0.0
2015-01-01 22:00:00,0.0,4.9,100,0.0
2015-01-01 23:00:00,0.0,5.1,100,0.0
2015-01-02 00:00:00,0.0,5.1,100,0.0
2015-01-02 01:00:00,0.0,5.2,100,0.0
2015-01-02 02:00:00,0.0,5.6,100,0.0
2015-01-02 03:00:00,0.0,6.1,100,0.0
2015-01-02 04:00:00,0.0,6.5,100,0.0
2015-01-02 05:00:00,0.0,7.3,100,0.0
2015-01-02 06:00:00,0.0,8.1,100,0.0
2015-01-02 07:00:00,3.0,9.2,100,0.0
2015-01-02 08:00:00,15.0,9.1,58,0.0
2015-01-02 09:00:00,33.0,8.4,57,28.0
2015-01-02 10:00:00,50.0,7.7,79,68.0
2015-01-02 11:00:00,58.0,7.0,37,51.0
2015-01-02 12:00:00,55.0,6.8,30,127.0
2015-01-02 13:00:00,41.0,6.1,29,110.0
2015-01-02 14:00:00,20.0,5.9,5,62.0
2015-01-02 15:00:00,4.0,5.4,3,12.0
2015-01-02 16:00:00,0.0,5.2,40,0.0
2015-01-02 17:00:00,0.0,5.1,59,0.0
2015-01-02 18:00:00,0.0,5.0,95,0.0
2015-01-02 19:00:00,0.0,4.9,95,0.0
2015-01-02 20:00:00,0.0,4.9,81,0.0
2015-01-02 21:00:00,0.0,4.9,29,0.0
2015-01-02 22:00:00,0.0,4.8,42,0.0
2015-01-02 23:00:00,0.0,4.4,25,0.0
2015-01-03 00:00:00,0.0,4.3,21,0.0
2015-01-03 01:00:00,0.0,4.3,32,0.0
2015-01-03 02:00:00,0.0,4.3,19,0.0
2015-01-03 03:00:00,0.0,4.2,38,0.0
2015-01-03 04:00:00,0.0,4.3,67,0.0
2015-01-03 05:00:00,0.0,4.1,63,0.0
2015-01-03 06:00:00,1.0,4.0,90,0.0
2015-01-03 07:00:00,5.0,4.2,92,0.0
2015-01-03 08:00:00,20.0,4.7,54,1.0
2015-01-03 09:00:00,41.0,5.1,60,26.0
2015-01-03 10:00:00,58.0,5.2,83,73.0
2015-01-03 11:00:00,65.0,5.5,22,112.0
2015-01-03 12:00:00,59.0,5.5,32,133.0
2015-01-03 13:00:00,43.0,5.3,75,107.0
2015-01-03 14:00:00,23.0,4.9,68,68.0
2015-01-03 15:00:00,6.0,4.2,67,12.0
2015-01-03 16:00:00,0.0,3.8,8,0.0
